,id,lang,description,bot,translation,test_set_1,test_set_2,description_lang
16,143687056,en,"0/4 of UJ & 3/4 + band of 5SOS. I'm apart of the #5SOSfam, #JCat, & many other fandoms. Cam Mansel is bae. ily all!",0,"[""0/4 of UJ & 3/4 + band of 5SOS. I'm apart of the #5SOSfam, #JCat, & many other fandoms. Cam Mansel is bae. ily all!""]",1.0,0.0,en
17,2291421004,en-gb,maltesers before hoes,0,['maltesers before hoes'],1.0,1.0,en
18,2337494094,en,5SOS funny imagines and real shit imagines that'll make you cry (from laughter and other feels),0,"[""5SOS funny imagines and real shit imagines that'll make you cry (from laughter and other feels)""]",0.0,0.0,en
19,225241810,en,B E A U T I F U L  S O U L                             Snapchat & IG: @tenisestarr,0,['B A U T I F U L In O U By Snapchat & IONA: @tenisestarr'],0.0,0.0,gd
20,375114767,en,"I didn't tweet to please others. I am who I am, this is me, take it or leave it.",0,"[""I didn't tweet to please others. I am who I am, this is me, take it or leave it.""]",1.0,1.0,en
21,52929021,en,"I hustle for my last name, not my first!",0,"['I hustle for my last name, not my first!']",0.0,0.0,en
22,1657000316,en,,0,,0.0,0.0,en
23,325967359,en,"Jack of all trades, Master of none.In CA by choice.#मैं_भी_शायर",0,"['Jack of all trades, Master of none.In CA by choice.#मैं_भी_शायर']",1.0,1.0,en
24,585912212,en,Stay Gold,0,['Stay Gold'],0.0,0.0,en
25,2419936286,en,Lov3 | 18 | MCPE YouTuber 10k Subs! | ~less than 3,0,['Lov3 | 18 | MCPE YouTuber 10k Subs! | ~less than 3'],0.0,0.0,en
26,2320414572,en,Time-traveling.,0,['Time-traveling.'],1.0,1.0,en
27,262531823,en,Keep it Simple!,0,['Keep it Simple!'],1.0,0.0,en
28,226315121,es,"A ver como explicas tú, que trabajando en el Pentágono, no trabajas en un polígono...",0,"[""To see how do you explain, that working in the Pentagon, you're not in a polygon...""]",0.0,0.0,es
29,492649414,es,Monitorear los desastres naturales mundiales. Facebook   SUAPT Desastres Naturales  o Jesus Guerrero (Everest),0,['Monitor natural disasters worldwide. Facebook SUAPT Natural Disasters or Jesus Guerrero (Everest)'],0.0,0.0,es
30,56554591,en,Instagram:AJCertified1,0,['Instagram:AJCertified1'],1.0,1.0,en
31,85193539,en,"Birder, naturalist, owl wrangler and blue bird living in a red state. I like antique cars and vintage fashion, too.",0,"['Birder, naturalist, owl wrangler and blue bird living in a red state. I like antique cars and vintage fashion, too.']",1.0,1.0,en
32,166211662,en,,0,,0.0,0.0,en
33,222290847,en,,0,,0.0,0.0,en
34,2765166293,en,JFK BASKETBALL #15,0,['JFK BASKETBALL #15'],0.0,0.0,en
35,2497379616,es,,0,,1.0,1.0,es
36,69991603,en,"#God #ManUtd #FOLO  if your going to be weird, be confident about it :D",0,"['#God #ManUtd #FOLO  if your going to be weird, be confident about it :D']",0.0,0.0,en
37,357747403,en,A minimalist realist who likes tea.,0,['A minimalist realist who likes tea.'],0.0,0.0,en
38,430285181,en,Hippy spirit; rebel heart. Just go with it.,0,['Hippy spirit; rebel heart. Just go with it.'],0.0,0.0,en
39,1141299306,en,"tired as shit, cold as fuck",0,"['tired as shit, cold as fuck']",0.0,0.0,en
40,37407255,en,"Typical Aantel,reader, blogger, social media & news addict, opinionated. Joy Bangla!",0,"['Typical Aantel,reader, blogger, social media & news addict, opinionated. Joy Bangla!']",0.0,0.0,en
41,112295272,en,"Lawyer. Dog lover. Passionate about music,politics, literature,cricket and art. In that order.",0,"['Lawyer. Dog lover. Passionate about music,politics, literature,cricket and art. In that order.']",0.0,0.0,en
42,208664282,en,"Manchester United fan. #admin at @InsideManUtd / https://t.co/Wq8P122v21. aashu_salotra on #Instagram. #MBA, Panjab University. #MUFC.",0,"['Manchester United fan. #admin at @InsideManUtd / https://t.co/Wq8P122v21. aashu_salotra on #Instagram. #MBA, Panjab University. #MUFC.']",0.0,0.0,en
43,348393966,en,,0,,0.0,0.0,en
44,1245621752,en,Can an IT & Business grad student play the #Piano based solely on YouTube tutorials? Find out! https://t.co/a88gOi3FHJ,0,['Can an IT & Business grad student play the #Piano based solely on YouTube tutorials? Find out! https://t.co/a88gOi3FHJ'],0.0,0.0,en
45,329481796,en,"I'm not short, I'm fun-sized. Big things come in small packages.",0,"[""I'm not short, I'm fun-sized. Big things come in small packages.""]",0.0,0.0,en
46,131043638,en,"I am the webmaster of About Facts Internet magazine.(formerly About Facts Net) http://t.co/93gshkn3vV where all articles, photos and drawings are free to use",0,"['I am the webmaster of About Facts Internet magazine.(formerly About Facts Net) http://t.co/93gshkn3vV where all articles, photos and drawings are free to use']",0.0,0.0,en
47,150183040,en,| OKC/Dallas | Music is life |,0,['| OKC/Dallas | Music is life |'],1.0,1.0,en
48,91287122,en,DO YOU EVEN LIFT BRO?                      #FREEPALESTINE #SaveGaza,0,['DO YOU EVEN LIFT BRO?                      #FREEPALESTINE #SaveGaza'],1.0,1.0,en
49,2244762307,en-gb,Summer Kicks,0,['Summer Kicks'],0.0,0.0,en
50,344457551,en,Ridin Round Gettin Conchi  TN GFK #ConchiLivin DMK Gemini  ♊️RosePark instagram: Adam_loko116 snapchat: AdamSaysSTFU Rest In Peace Cuma,0,['Ridin Round Gettin Conchi  TN GFK #ConchiLivin DMK Gemini  ♊️RosePark instagram: Adam_loko116 snapchat: AdamSaysSTFU Rest In Peace Cuma'],0.0,0.0,en
51,2360378178,en,I'll eat some breakfast then change the world,0,"[""I'll eat some breakfast then change the world""]",1.0,0.0,en
52,398467095,en,,0,,0.0,0.0,en
53,2400711853,en,"Love to fly and enjoy all the beautiful things in life, no matter how small they might be. #Leadership",0,"['Love to fly and enjoy all the beautiful things in life, no matter how small they might be. #Leadership']",0.0,0.0,en
54,32494880,en,"mommy of a star, addicted to reading, antiques, thrifting, charity, reality tv, cooking, fashion, arts, film, business & health care",0,"['mommy of a star, addicted to reading, antiques, thrifting, charity, reality tv, cooking, fashion, arts, film, business & health care']",0.0,0.0,en
55,2362812823,es,Soy un Umbreon Lvl 21 que vive en Hyrule. Retrogamer de los que ya no quedan. Crío Chocoritas. It's Dangerous to go alone. Wisdom - Power - Courage.,0,"[""I'm a Umbreon Lvl 21 who lives in Hyrule. Retrogamer of which no longer remain. Kid Chocoritas. It's Dangerous to go alone. Wisdom - Power - Courage.""]",0.0,0.0,es
56,509255384,es,"Follow your drems (CANCELLED)▶▶▶Go to work, obey the law, walk on the pavements, save for old age...then repeat with me: I´m free",0,"['Follow your drems (CANCELLED)▶▶▶Go to work, obey the law, walk on the pavements, save for old age...then repeat with me: I´m free']",0.0,0.0,en
57,86565348,en,لاإله الا الله محمدرسول اللهﷺ Relation doesnt need cute voice n lovely face!Relation ned beautiful heart n unbreakable trust IG: advcate007,0,['لاإله الا الله محمدرسول اللهﷺ Relation doesnt need cute voice n lovely face!Relation ned beautiful heart n unbreakable trust IG: advcate007'],0.0,0.0,en
58,250207934,en,RBS Grad '11/3rd year Dental student-KU 6ebeya ♥ الطبـ)ـية,0,"[""RBS Grad '11/3rd year Dental student-KU 6ebeya ♥ الطبـ)ـية""]",0.0,0.0,en
59,238040058,en,Student with UND Atmospheric Science. Illinoisan. Homebrewer. Bicyclist. Proud American Outlaw. #CF97,0,['Student with UND Atmospheric Science. Illinoisan. Homebrewer. Bicyclist. Proud American Outlaw. #CF97'],0.0,0.0,en
60,476876406,es,Castle. Gryffindor. Fangirl. Shipper. Nerd. ♀  《A Writer & His Muse》 I had the time of my life fighting dragons with you. Don't ruin my story with your logic.,0,"[""Castle. Gryffindor. Fangirl. Shipper. Nerd. ♀  《A Writer & His Muse》 I had the time of my life fighting dragons with you. Don't ruin my story with your logic.""]",0.0,0.0,en
61,190345460,en,The Wise Owl. The Shire/Pompey/Santiago Chile,0,['The Wise Owl. The Shire/Pompey/Santiago Chile'],0.0,0.0,en
62,1376257824,en,Technology and World Watchdog. A Damaged Soul that Death Curiously Refuses to Harvest. A Sponge for Cool Music. Missing D__v__a     L__r_n.,0,['Technology and World Watchdog. A Damaged Soul that Death Curiously Refuses to Harvest. A Sponge for Cool Music. Missing D__v__a     L__r_n.'],0.0,0.0,en
63,714550385,en,#A-levels #Photographer Ask=Ahmadwaleedarshad  Life is achi without any bachi,0,['#A-levels #Photographer Ask=Ahmadwaleedarshad  Life is achi without any bachi'],0.0,0.0,en
64,474152548,en,"19, AKA:Swagdaddy. Heat, Dolphins, Cardinals, @StephenCurry30, @ArianaGrande, @arielwinter1, @iambecky, and @WWE fan!! Student at SEMO. Keep it 100",0,"['19, AKA:Swagdaddy. Heat, Dolphins, Cardinals, @StephenCurry30, @ArianaGrande, @arielwinter1, @iambecky, and @WWE fan!! Student at SEMO. Keep it 100']",1.0,0.0,en
65,1373517728,en,"I paint life in vivid colour, depict in harsh words . Find your wings my nigga. / MAGNUM EST!!!",0,"['I paint life in vivid colour, depict in harsh words . Find your wings my nigga. / MAGNUM EST!!!']",0.0,0.0,en
66,177906959,en,No connection with any political party.,0,['No connection with any political party.'],0.0,0.0,en
67,2248762537,en,"Professional procrastinator who spreads positive vibes. If you cant handle the heat, get out of the kitchen.",0,"['Professional procrastinator who spreads positive vibes. If you cant handle the heat, get out of the kitchen.']",0.0,0.0,en
68,462534253,en,"Chest Up| Eyes up| Prayed Up| Most People have sight, Leaders Have Vision",0,"['Chest Up| Eyes up| Prayed Up| Most People have sight, Leaders Have Vision']",0.0,0.0,en
69,93941188,en,All You Need to Start an Asylum is an Empty Room and the Right Kind of People,0,['All You Need to Start an Asylum is an Empty Room and the Right Kind of People'],0.0,0.0,en
70,22437394,en,Editor de @atomix. Videojuegos y cine.,0,['Editor of @atomix. Video games and movies.'],0.0,0.0,es
71,1195136336,en,EVERYTHING IS A RACE,0,['EVERYTHING IS A RACE'],1.0,0.0,en
72,1956659528,en,perpetually memed,0,['perpetually memed'],0.0,0.0,en
73,1175224910,es,"My baby Shah Rukh replied to me 3 times,one of them was naughty & another was just for me,he twitted my sketch & he knows that i'm his Mexican Wife! I L♥VE HIM!",0,"[""My baby Shah Rukh replied to me 3 times,one of them was naughty & another was just for me,he twitted my sketch & he knows that i'm his Mexican Wife! I L♥VE HIM!""]",0.0,0.0,en
74,578904059,ru,Ведущий информационных программ на #вестифм #радиомаяк #новости #newsВедущий новостей на канале #МИР24#АлександрВалеев #AleksandrValeev,0,['Host of informational programs on #vestem #beacon #news #newsВедущий news channel #MIR24#Alexandrbelov #AleksandrValeev'],0.0,0.0,ru
75,454183646,en,acid rap,0,['acid rap'],0.0,0.0,en
76,318040219,en,The past was yours but the futures mine,0,['The past was yours but the futures mine'],0.0,0.0,en
77,558782771,en,B.sc Psychology. Beach Bum.,0,['B.sc Psychology. Beach Bum.'],0.0,0.0,en
78,1425572605,en,16 || keller tx || frhs,0,['16 || keller tx || frhs'],1.0,0.0,de
79,103668192,en,"be young, be dope, be proud",0,"['be young, be dope, be proud']",1.0,1.0,en
80,50034798,en,"I am a God-fearing woman, CEO/Founder of GLHRF, a minister, a mother of 2 beautiful children and an Avon & Iaso Representive.",0,"['I am a God-fearing woman, CEO/Founder of GLHRF, a minister, a mother of 2 beautiful children and an Avon & Iaso Representive.']",0.0,0.0,en
81,2574200442,en,,0,,0.0,0.0,en
82,53114456,en,"☆Muslim☆ Uni student. Stay Classy, Never Trashy. Nature Lover. Do not underestimate the power of a dua. #FreePalestine. #PositiveVibesOnly :)✌",0,"['☆Muslim☆ Uni student. Stay Classy, Never Trashy. Nature Lover. Do not underestimate the power of a dua. #FreePalestine. #PositiveVibesOnly :)✌']",0.0,0.0,en
83,1495594020,en,Figuring it out.,0,['Figuring it out.'],0.0,0.0,en
84,1387377110,en,all smiles (:::,0,['all smiles (:::'],1.0,0.0,en
85,1892545526,en,IG: Allyjoanna_,0,['IG: Allyjoanna_'],0.0,0.0,en
86,489714722,sv,,0,,0.0,0.0,sv
87,278811330,en,I love you when you're singing that song. #SFA19,0,"[""I love you when you're singing that song. #SFA19""]",0.0,0.0,en
88,64534012,en,"20 years old, Technology Director at Hennessey Public Schools, Proud Father, Izaiah Luke ❤️All for the man upstairs. Instagram: alonsosanchezz Snapchat: a-fire",0,"['20 years old, Technology Director at Hennessey Public Schools, Proud Father, Izaiah Luke ❤️All for the man upstairs. Instagram: alonsosanchezz Snapchat: a-fire']",0.0,0.0,en
89,138472981,en,Just some fluff and stuff.,0,['Just some fluff and stuff.'],0.0,0.0,en
90,1727495887,en,,0,,0.0,0.0,en
91,440901699,en,OE. 09/13/13❤️,0,['OE. 09/13/13❤️'],1.0,1.0,en
92,185216671,en,Adopted Chicagoan. Anglistik an der Universität Murcia. Angriff ist die beste Verteidigung.,0,['Adopted Chicagoan. English language and literature at the University of Murcia. Attack is the best defense.'],0.0,0.0,de
93,32831822,en,"English teacher living in Madrid, hard-(ejem) worker, loving what I do,I tweet in English and some Spanish.",0,"['English teacher living in Madrid, hard-(ejem) worker, loving what I do,I tweet in English and some Spanish.']",0.0,0.0,en
94,2938551012,en,|14years| guy | doodler | expert food scientist | food expert|,0,['|14years| guy | doodler | expert food scientist | food expert|'],0.0,0.0,en
95,241347721,en,"Loves: B-movies, running, Thai food, America, the #2ndAmendment, Parrots, and the #Raiders.",0,"['Loves: B-movies, running, Thai food, America, the #2ndAmendment, Parrots, and the #Raiders.']",0.0,0.0,en
96,20301520,en,"So, this is the bit where I am meant to say something witty about myself, right?",0,"['So, this is the bit where I am meant to say something witty about myself, right?']",1.0,0.0,en
97,1191129162,es,Soy la chica de la que tu madre te advirtió // Dando guerra desde el 2000  //   @Danfer22 is my idol *-*,0,['I am the girl your mother you warned // Giving war since 2000 // @Danfer22 is my idol *-*'],0.0,0.0,es
98,49709134,en,Full time husband  Belongs to @nehagianani,0,['Full time husband  Belongs to @nehagianani'],0.0,0.0,en
99,58797847,en,#Trinidadian #Lawstudent #WestIndian #Cricketlover #Blessed #Happy #Loved #Enjoyinglife #followme,0,['#Trinidadian #Lawstudent #WestIndian #Cricketlover #Blessed #Happy #Loved #Enjoyinglife #followme'],0.0,0.0,en
100,392080330,en,senior at gvhs. CLU '19,0,"[""senior at gvhs. CLU '19""]",1.0,1.0,en
101,1120863444,en,15 | Sri Amanian | ⚾,0,['15 | Sri Amanian | ⚾'],0.0,0.0,en
102,1261040287,en,☻XI.XVI.XIV☻// @AmazingRussett U ARE THE MOST ADORABLE HUMAN BEING EVER. I LOVE U.- arr,0,['☻XI.XVI.XIV☻// @AmazingRussett U ARE THE MOST ADORABLE HUMAN BEING EVER. I LOVE U.- arr'],1.0,1.0,en
103,2257926470,fr,II REVERZE 2015 II,0,['II REVERZE 2015 II'],0.0,0.0,en
104,96815122,en,Saddened by India/Nepal #earthquake Tragedy. Prayers For All. Let's Fight It Together.,0,"[""Saddened by India/Nepal #earthquake Tragedy. Prayers For All. Let's Fight It Together.""]",0.0,0.0,en
105,120833703,en,"Advertising, Social & Digital fanatic! Traded London for beach life. Loves cake and looks like a lion. Nearly everybody gets twitterpated in the springtime!",0,"['Advertising, Social & Digital fanatic! Traded London for beach life. Loves cake and looks like a lion. Nearly everybody gets twitterpated in the springtime!']",0.0,0.0,en
106,58477691,en,Gol. Darah: O+ | Pernah siaran dan ngemsi | Jumping BoA | Runner | WhatsApp 085277798698 | LINE amusyarbini | BBM 527E8174,0,['Gol. Darah: O+ | Pernah siaran dan ngemsi | Jumping BoA | Runner | WhatsApp 085277798698 | LINE amusyarbini | BBM 527E8174'],0.0,0.0,en
107,22798846,en,"Emmy award winning Executive Producer, mom, veteran and lover of all things 80s. Opinions are my own. RTs are not endorsements.",0,"['Emmy award winning Executive Producer, mom, veteran and lover of all things 80s. Opinions are my own. RTs are not endorsements.']",0.0,0.0,en
108,381753637,en,"Loca fan de la Tiuchis,OUAT fan.proud of being part of #theuglyducklings,Jmoloveforum #uglyducklingbookclub and JMoFamily #captainswan shipper.",0,"['Loca fan de la Tiuchis,OUAT fan.proud of being part of #theuglyducklings,Jmoloveforum #uglyducklingbookclub and JMoFamily #captainswan shipper.']",1.0,1.0,en
109,2718118608,en,"Chair warmer, fan of all things Trek. Sometimes known for gems of humour but these are accidents. There's just so much to say in so few letters. LOGIN Noticias",0,"[""Chair warmer, fan of all things Trek. Sometimes known for gems of humour but these are accidents. There's just so much to say in so few letters. LOGIN Noticias""]",0.0,0.0,en
110,581233948,es,"I like futuristic things. And heroes. And nice people. And orange, clones, or atoned evil queens.",0,"['I like futuristic things. And heroes. And nice people. And orange, clones, or atoned evil queens.']",0.0,0.0,en
111,1194760087,en,"OU '15, @OUNightly, @OUDaily @PurcellRegister, & @neoweather_com Meteorologist. NWS Certified Storm Spotter, Creator of @RangersWeather, & Former @KWTX Intern.",0,"[""OU '15, @OUNightly, @OUDaily @PurcellRegister, & @neoweather_com Meteorologist. NWS Certified Storm Spotter, Creator of @RangersWeather, & Former @KWTX Intern.""]",1.0,0.0,en
112,3140424071,en,"Heey guys! I'm 15, I have 1.70m and the most important...I LOVE RAP and Rachel!",0,"[""Heey guys! I'm 15, I have 1.70m and the most important...I LOVE RAP and Rachel!""]",0.0,0.0,en
113,434832511,es,,0,,1.0,0.0,es
114,517639654,es,•XVI. «I care to live when I've just born to die»,0,"[""•XVI. «I care to live when I've just born to die»""]",0.0,0.0,en
115,468080275,en,proudmommy / taken,0,['proudmommy / taken'],0.0,0.0,en
116,622956477,en,"singer/songwriter, celestial being, #teamsinger  ive got a sad past, looking for true love to set me free #singer #songwriter #cover #music",0,"['singer/songwriter, celestial being, #teamsinger  ive got a sad past, looking for true love to set me free #singer #songwriter #cover #music']",0.0,0.0,en
117,149723283,en,Dumaguete City | 19 years old | Virgin | Medical Technology Student | Future Lawyer | Host | Public Speaker | Silliman University,0,['Dumaguete City | 19 years old | Virgin | Medical Technology Student | Future Lawyer | Host | Public Speaker | Silliman University'],0.0,0.0,en
118,742326175,en,✨FOREVER DO EXIST KathNiel|NashLene|MinShin|KPOP|Gimme5|Multi-Fandom @angelousantos21 on IG,0,['✨FOREVER DO EXIST KathNiel|NashLene|MinShin|KPOP|Gimme5|Multi-Fandom @angelousantos21 on IG'],0.0,0.0,en
119,2311184364,en,"I hope you're happy with me, because i homestly cant stop thinking about you when you're not with me.",0,"[""I hope you're happy with me, because i homestly cant stop thinking about you when you're not with me.""]",1.0,0.0,en
120,2251878995,es,"On my way to the moon. 50 shades of kesha. 5H. Izzy is my sunshine, slay me.",0,"['On my way to the moon. 50 shades of kesha. 5H. Izzy is my sunshine, slay me.']",0.0,0.0,en
121,2378140945,en,,0,,0.0,0.0,en
122,519445792,en,"~Dream wide, dream big~  HE WILL COME BACK!                                                        1D,Eric Saade,5SOS,Little Mix, UJ, ∆rches and more.",0,"['~Dream wide, dream big~  HE WILL COME BACK!                                                        1D,Eric Saade,5SOS,Little Mix, UJ, ∆rches and more.']",0.0,0.0,en
123,2920448851,en,There is a LIGHT that never goes out.,0,['There is a LIGHT that never goes out.'],0.0,0.0,en
124,252882696,en,I'm just a teenage dirtbag baby listen to iron maiden baby with me?,0,"[""I'm just a teenage dirtbag baby listen to iron maiden baby with me?""]",0.0,0.0,en
125,41950696,en,"Traveler, writer and photographer. For collabs and for hire. Seeing life through an illuminated lens.",0,"['Traveler, writer and photographer. For collabs and for hire. Seeing life through an illuminated lens.']",0.0,0.0,en
126,2941150861,en,,0,,0.0,0.0,en
127,2204112777,en,❤KORBO LORBO JEETBO RE❤ @iamsrk's Country,0,"[""❤KORBO LORBO JEETBO RE❤ @iamsrk's Country""]",1.0,1.0,pl
128,484522355,en,RSS Swayamsevak [ योगः कर्मषु कौशलम् ] Spectacular Achievements are always preceded by an Unspectacular Preparation : http://t.co/MiAb6gEiGx : @myvaranasi,0,['RSS Swayamsevak [ योगः कर्मषु कौशलम् ] Spectacular Achievements are always preceded by an Unspectacular Preparation : http://t.co/MiAb6gEiGx : @myvaranasi'],1.0,1.0,en
129,1874015534,en,dedicated to being the baddesf motherf*cker in the goddamn valleyDV C/O 2015THE Ohio State University C/O 2019Future Naval Officer. #GoNavy,0,['dedicated to being the baddesf motherf*cker in the goddamn valleyDV C/O 2015THE Ohio State University C/O 2019Future Naval Officer. #GoNavy'],0.0,0.0,en
130,59689509,en,add me on snapchat aracekyan,0,['add me on snapchat aracekyan'],0.0,0.0,en
131,1897930380,en,,0,,0.0,0.0,en
132,58702972,en,Bleh,0,['Bleh'],1.0,0.0,en
133,508355849,en,One Direction & Ariana Grande enthusiast,0,['One Direction & Ariana Grande enthusiast'],0.0,0.0,en
134,3164941860,en,,0,,0.0,0.0,en
135,110122113,en,I hate this part right here. ★19 || Ateneo de Manila University || Legal Management,0,['I hate this part right here. ★19 || Ateneo de Manila University || Legal Management'],0.0,0.0,en
136,866157062,en,Aardbevingsspecialist - Grootste ngo-website aardbevingen ter wereld - Mechelaar - KVM - Wereldreiziger - selectie wereldpers - Foto's: La Plagne en Noord-Korea,0,['Aardbevingsspecialist - Largest ngo-website earthquakes in the world - Malinois - KVM - world Traveller - selection of world press Photos: La Plagne and North Korea'],0.0,0.0,nl
137,231257304,es,"Mortinato. A los 6 años caí en una marmita llena de redes sociales. A los 11 morí otra vez, pero mejoré.  Políticamente soy neogüelfo.",0,"['Stillbirth. At 6 years old, I fell into a kettle full of social networks. At 11, I died again, but I improved. Politically I am neogüelfo.']",0.0,0.0,es
138,884366718,en,"eternal Juventina, ADP10, #ProudBosnian,                                                                metalhead, civil engineering",0,"['eternal Juventina, ADP10, #ProudBosnian,                                                                metalhead, civil engineering']",1.0,1.0,en
139,208913421,en,"reader/writer, sleeper/dreamer, an emotional girl who tries to be logical much to her own detriment.",0,"['reader/writer, sleeper/dreamer, an emotional girl who tries to be logical much to her own detriment.']",0.0,0.0,en
140,229875064,ru,,0,,0.0,0.0,ru
141,341900539,en,"I grew up accustomed to the rebel flag, Under the shadow of the cross.",0,"['I grew up accustomed to the rebel flag, Under the shadow of the cross.']",0.0,0.0,en
142,136245387,en,ISP Manager-TataSky DTH!Massive #MUFCfan! Fan of #IPL #CSK #RCB #MSD #LinkinPark #Eminem #Pitbull #SHM #Avici #RvP #Rooney #Messi #CR7 #Traveling. FB:arumufc,0,['ISP Manager-TataSky DTH!Massive #MUFCfan! Fan of #IPL #CSK #RCB #MSD #LinkinPark #Eminem #Pitbull #SHM #Avici #RvP #Rooney #Messi #CR7 #Traveling. FB:arumufc'],0.0,0.0,en
143,745638440,en,Going wild for the night FUCK BEING POLITE,0,['Going wild for the night FUCK BEING POLITE'],0.0,0.0,en
144,1544322560,en,"Realistically, the most scarce in the game. Exotic like a lion. Vanilla bean frap with java chips.The greater things come later in life. Professional indian.",0,"['Realistically, the most scarce in the game. Exotic like a lion. Vanilla bean frap with java chips.The greater things come later in life. Professional indian.']",0.0,0.0,en
145,1505023116,en,Ha,0,['Ha'],1.0,1.0,en
146,119112245,en,,0,,0.0,0.0,en
147,368134512,en,love my family and friends. I bleed Orange...#livinloud. Are we bitches or are we gladiators,0,['love my family and friends. I bleed Orange...#livinloud. Are we bitches or are we gladiators'],0.0,0.0,en
148,485384525,en,"Keep your mouth closed , and let your  eyes listen . Blessed . Instagram - AshtonAlford .",0,"['Keep your mouth closed , and let your  eyes listen . Blessed . Instagram - AshtonAlford .']",0.0,0.0,en
149,2152052819,en,"Money the root of all evil, Money the root of all people.",0,"['Money the root of all evil, Money the root of all people.']",1.0,1.0,en
150,634704287,en,The dark side of the moon,0,['The dark side of the moon'],0.0,0.0,en
151,2557136665,en-gb,"An egalitarian Saxhleel, part time philanthropist. full time drunk. my profile pic by http://t.co/Wrn3zcsr1e",0,"['An egalitarian Saxhleel, part time philanthropist. full time drunk. my profile pic by http://t.co/Wrn3zcsr1e']",0.0,0.0,en
152,92999280,en,"Two things you need to know about me: 1) Forget all the rules, they no longer apply.  2) Expect the unexpected.",0,"['Two things you need to know about me: 1) Forget all the rules, they no longer apply.  2) Expect the unexpected.']",0.0,0.0,en
153,372835779,en,So can I have it like that,0,['So can I have it like that'],0.0,0.0,en
154,1858934186,en,Still doin it. Still livin it. Still grindin. Still.,0,['Still doin it. Still livin it. Still grindin. Still.'],0.0,0.0,en
155,282427769,en,The Official Twitter Page of Austin Conway  Instagram: @austteezyyy,0,['The Official Twitter Page of Austin Conway  Instagram: @austteezyyy'],1.0,0.0,en
156,40219052,en,Found my soul strutting its stuff across the road,0,['Found my soul strutting its stuff across the road'],0.0,0.0,en
157,1408912964,en,"You make it look like its magic, Cause i see nobody, nobody but you.. -The Weekend",0,"['You make it look like its magic, Cause i see nobody, nobody but you.. -The Weekend']",0.0,0.0,en
158,40008819,en,"The addiction is fishing, the love is Becki, the kids are furry.",0,"['The addiction is fishing, the love is Becki, the kids are furry.']",1.0,0.0,en
159,777083114,en,I'm really good at stuff until people watch me do that stuff. Detective9,0,"[""I'm really good at stuff until people watch me do that stuff. Detective9""]",0.0,0.0,en
